TRIP ID,START TIME,STOP TIME,BIKE ID,TRIP DURATION,FROM STATION ID,FROM LATITUDE,FROM LONGITUDE,FROM LOCATION,TO LATITUDE,TO LONGITUDE,TO LOCATION
1116443,1/11/14 16:17,1/11/14 16:32,1251,912,310,41.920082,-87.677855,POINT (-87.677855 41.920082),41.935733,-87.663576,POINT (-87.663576 41.935733)
1116452,1/11/14 16:21,1/11/14 16:36,1313,932,197,41.882134,-87.625125,POINT (-87.625125 41.882134),41.8807,-87.63947,POINT (-87.63947 41.8807)
1116459,1/11/14 16:22,1/11/14 16:36,2505,815,197,41.882134,-87.625125,POINT (-87.625125 41.882134),41.8807,-87.63947,POINT (-87.63947 41.8807)
1116467,1/11/14 16:26,1/11/14 16:43,2674,1034,153,41.935733,-87.663576,POINT (-87.663576 41.935733),41.935733,-87.663576,POINT (-87.663576 41.935733)
1116515,1/11/14 16:46,1/11/14 16:59,2196,792,169,41.874337,-87.639566,POINT (-87.639566 41.874337),41.874053,-87.627716,POINT (-87.627716 41.874053)
1116549,1/11/14 16:57,1/11/14 17:04,195,452,47,41.88918,-87.6277,POINT (-87.6277 41.88918),41.88871604,-87.64444785,POINT (-87.644448 41.888716)
1116585,1/11/14 17:06,1/11/14 17:29,2823,1380,13,41.932418,-87.652705,POINT (-87.652705 41.932418),41.918306,-87.636282,POINT (-87.636282 41.918306)
1116601,1/11/14 17:17,1/11/14 17:26,2639,532,58,41.916017,-87.668879,POINT (-87.668879 41.916017),41.92560188,-87.65370804,POINT (-87.653708 41.925602)
1116628,1/11/14 17:33,1/11/14 17:54,2823,1241,94,41.918306,-87.636282,POINT (-87.636282 41.918306),41.903233,-87.631253,POINT (-87.631253 41.903233)
1116634,1/11/14 17:34,1/11/14 17:53,415,1095,174,41.882091,-87.639833,POINT (-87.639833 41.882091),41.898969,-87.629912,POINT (-87.629912 41.898969)
1116681,1/11/14 17:54,1/11/14 18:05,1067,687,52,41.886024,-87.624117,POINT (-87.624117 41.886024),41.893832,-87.634195,POINT (-87.634195 41.893832)
1116682,1/11/14 17:54,1/11/14 18:05,2934,670,52,41.886024,-87.624117,POINT (-87.624117 41.886024),41.893832,-87.634195,POINT (-87.634195 41.893832)
1116697,1/11/14 17:58,1/11/14 18:14,2258,949,158,41.912616,-87.681391,POINT (-87.681391 41.912616),41.921525,-87.707322,POINT (-87.707322 41.921525)
1116701,1/11/14 17:59,1/11/14 18:20,2901,1254,337,41.896544,-87.630931,POINT (-87.630931 41.896544),41.921822,-87.64414,POINT (-87.64414 41.921822)
1116763,1/11/14 18:24,1/11/14 20:14,188,6610,251,41.967968,-87.650001,POINT (-87.650001 41.967968),41.96167,-87.65464,POINT (-87.65464 41.96167)
1116821,1/11/14 19:21,1/11/14 19:28,2674,457,153,41.935733,-87.663576,POINT (-87.663576 41.935733),41.920445,-87.663095,POINT (-87.663095 41.920445)
1116895,1/11/14 20:26,1/11/14 20:45,420,1142,154,41.93949,-87.66378,POINT (-87.66378 41.93949),41.919936,-87.64883,POINT (-87.64883 41.919936)
1116920,1/11/14 20:44,1/11/14 21:07,485,1395,211,41.894448,-87.622663,POINT (-87.622663 41.894448),41.895966,-87.667747,POINT (-87.667747 41.895966)
1116923,1/11/14 20:48,1/11/14 21:04,2354,964,280,41.8378,-87.65114,POINT (-87.65114 41.8378),41.838556,-87.608218,POINT (-87.608218 41.838556)
1116927,1/11/14 20:53,1/11/14 21:00,2325,405,224,41.913778,-87.64884,POINT (-87.64884 41.913778),41.92154,-87.653818,POINT (-87.653818 41.92154)
1116933,1/11/14 20:58,1/11/14 21:08,2236,604,309,41.917805,-87.682437,POINT (-87.682437 41.917805),41.91044,-87.6972,POINT (-87.6972 41.91044)
1116984,1/11/14 22:07,1/11/14 22:13,1737,395,307,41.920445,-87.663095,POINT (-87.663095 41.920445),41.920082,-87.677855,POINT (-87.677855 41.920082)
1117016,1/11/14 22:30,1/11/14 22:49,2325,1175,327,41.92154,-87.653818,POINT (-87.653818 41.92154),41.89766,-87.62351,POINT (-87.62351 41.89766)
1117025,1/11/14 22:51,1/11/14 23:09,2325,1027,25,41.89766,-87.62351,POINT (-87.62351 41.89766),41.88918,-87.6277,POINT (-87.6277 41.88918)
1117048,1/11/14 23:44,1/12/14 0:17,2702,1985,153,41.935733,-87.663576,POINT (-87.663576 41.935733),41.903029,-87.697474,POINT (-87.697474 41.903029)
